order_id,product_id,product_name,vendor_id,vendor_name,quantity,unit_price,total_cost,order_date,current_stock,reorder_level
O0131,P004,PVC Drain Pipes,V003,Bharat Infra Supply Co.,75,4166,312450,29/10/25,40,35
O0132,P005,Coarse Aggregates,V009,AquaFlow Solutions,45,1790,80550,27/04/25,42,60
O0133,P003,Bitumen Drums,V006,Precision Electricals,97,315,30555,01/10/25,95,30
O0134,P005,Coarse Aggregates,V003,Bharat Infra Supply Co.,31,646,20026,30/05/25,75,60
O0135,P008,Stormwater Grates,V003,Bharat Infra Supply Co.,46,300,13800,26/05/25,78,20
O0136,P008,Stormwater Grates,V008,Reliable Bitumen Works,132,2991,394812,27/01/25,28,20
O0137,P008,Stormwater Grates,V005,Green Earth Aggregates,49,735,36015,09/09/25,56,20
O0138,P001,Cement Bags,V002,Shree Steel Traders,58,1422,82476,16/10/25,108,50
O0139,P002,TMT Steel Bars,V005,Green Earth Aggregates,83,1170,97110,02/08/25,76,40
O0140,P004,PVC Drain Pipes,V010,Metro Hardware Hub,153,3316,507348,15/08/25,62,35
O0141,P007,Paver Blocks,V005,Green Earth Aggregates,98,693,67914,20/02/25,83,45
O0142,P004,PVC Drain Pipes,V004,Sai Pipes & Fittings,87,865,75255,03/05/25,25,35
O0143,P002,TMT Steel Bars,V003,Bharat Infra Supply Co.,60,221,13260,19/08/25,57,40
O0144,P008,Stormwater Grates,V010,Metro Hardware Hub,94,467,43898,28/05/25,34,20
O0145,P008,Stormwater Grates,V005,Green Earth Aggregates,38,2112,80256,17/11/25,38,20
O0146,P004,PVC Drain Pipes,V010,Metro Hardware Hub,128,1140,145920,26/04/25,74,35
O0147,P005,Coarse Aggregates,V003,Bharat Infra Supply Co.,56,784,43904,26/03/25,12,60
O0148,P005,Coarse Aggregates,V005,Green Earth Aggregates,132,1218,160776,19/12/25,64,60
O0149,P007,Paver Blocks,V005,Green Earth Aggregates,89,4299,382611,10/09/25,74,45
O0150,P002,TMT Steel Bars,V008,Reliable Bitumen Works,173,526,90998,10/08/25,118,40
O0151,P005,Coarse Aggregates,V006,Precision Electricals,26,948,24648,12/12/25,34,60
O0152,P001,Cement Bags,V010,Metro Hardware Hub,88,529,46552,31/03/25,102,50
O0153,P008,Stormwater Grates,V008,Reliable Bitumen Works,91,1686,153426,12/08/25,79,20
O0154,P002,TMT Steel Bars,V008,Reliable Bitumen Works,140,3050,427000,20/06/25,57,40
O0155,P002,TMT Steel Bars,V006,Precision Electricals,61,2901,176961,22/12/25,57,40
O0156,P005,Coarse Aggregates,V008,Reliable Bitumen Works,122,500,61000,15/02/25,63,60
O0157,P005,Coarse Aggregates,V006,Precision Electricals,102,1149,117198,26/07/25,103,60
O0158,P001,Cement Bags,V009,AquaFlow Solutions,158,3984,629472,28/01/25,57,50
O0159,P006,Electrical Cables,V004,Sai Pipes & Fittings,179,4283,766657,15/08/25,85,25
O0160,P004,PVC Drain Pipes,V001,UltraBuild Suppliers,88,1273,112024,13/08/25,41,35
O0161,P002,TMT Steel Bars,V008,Reliable Bitumen Works,27,2160,58320,23/03/25,95,40
O0162,P001,Cement Bags,V005,Green Earth Aggregates,161,3542,570262,26/04/25,16,50
O0163,P008,Stormwater Grates,V002,Shree Steel Traders,50,1461,73050,30/05/25,68,20
O0164,P005,Coarse Aggregates,V009,AquaFlow Solutions,126,4152,523152,05/05/25,65,60
O0165,P003,Bitumen Drums,V008,Reliable Bitumen Works,118,1761,207798,18/09/25,81,30
O0166,P002,TMT Steel Bars,V003,Bharat Infra Supply Co.,90,3599,323910,17/09/25,48,40
O0167,P001,Cement Bags,V005,Green Earth Aggregates,92,2645,243340,28/10/25,112,50
O0168,P008,Stormwater Grates,V010,Metro Hardware Hub,58,3858,223764,05/09/25,73,20
O0169,P006,Electrical Cables,V006,Precision Electricals,161,3290,529690,14/06/25,63,25
O0170,P004,PVC Drain Pipes,V004,Sai Pipes & Fittings,166,3337,553942,30/07/25,34,35
O0171,P006,Electrical Cables,V001,UltraBuild Suppliers,141,3323,468543,06/12/25,54,25
O0172,P008,Stormwater Grates,V003,Bharat Infra Supply Co.,29,1234,35786,30/10/25,69,20
O0173,P002,TMT Steel Bars,V006,Precision Electricals,132,1016,134112,22/08/25,72,40
O0174,P003,Bitumen Drums,V001,UltraBuild Suppliers,124,1464,181536,29/08/25,14,30
O0175,P006,Electrical Cables,V005,Green Earth Aggregates,179,3456,618624,11/02/25,88,25
O0176,P007,Paver Blocks,V006,Precision Electricals,101,4197,423897,05/10/25,116,45
O0177,P002,TMT Steel Bars,V001,UltraBuild Suppliers,80,2554,204320,16/02/25,34,40
O0178,P002,TMT Steel Bars,V007,Prime Machinery Vendors,45,3834,172530,22/12/25,26,40
O0179,P001,Cement Bags,V005,Green Earth Aggregates,31,2857,88567,29/01/25,106,50
O0180,P006,Electrical Cables,V005,Green Earth Aggregates,115,3728,428720,06/05/25,23,25
O0181,P007,Paver Blocks,V009,AquaFlow Solutions,164,1675,274700,31/03/25,26,45
O0182,P007,Paver Blocks,V002,Shree Steel Traders,178,2172,386616,26/10/25,68,45
O0183,P004,PVC Drain Pipes,V003,Bharat Infra Supply Co.,138,2280,314640,11/05/25,63,35
O0184,P008,Stormwater Grates,V001,UltraBuild Suppliers,93,1494,138942,15/08/25,14,20
O0185,P005,Coarse Aggregates,V006,Precision Electricals,128,2248,287744,04/06/25,63,60
O0186,P007,Paver Blocks,V004,Sai Pipes & Fittings,143,1073,153439,15/07/25,35,45
O0187,P006,Electrical Cables,V010,Metro Hardware Hub,167,2623,438041,01/06/25,94,25
O0188,P007,Paver Blocks,V001,UltraBuild Suppliers,90,266,23940,18/12/25,77,45
O0189,P008,Stormwater Grates,V001,UltraBuild Suppliers,93,2085,193905,30/06/25,82,20
O0190,P004,PVC Drain Pipes,V004,Sai Pipes & Fittings,178,2253,401034,04/12/25,91,35
O0191,P002,TMT Steel Bars,V003,Bharat Infra Supply Co.,180,522,93960,14/08/25,44,40
O0192,P006,Electrical Cables,V001,UltraBuild Suppliers,53,938,49714,17/06/25,42,25
O0193,P003,Bitumen Drums,V007,Prime Machinery Vendors,71,1282,91022,04/10/25,105,30
O0194,P005,Coarse Aggregates,V006,Precision Electricals,62,2305,142910,04/09/25,110,60
O0195,P006,Electrical Cables,V005,Green Earth Aggregates,49,4036,197764,14/03/25,14,25
O0196,P007,Paver Blocks,V004,Sai Pipes & Fittings,162,3196,517752,22/07/25,16,45
O0197,P005,Coarse Aggregates,V001,UltraBuild Suppliers,157,1212,190284,08/07/25,63,60
O0198,P007,Paver Blocks,V005,Green Earth Aggregates,115,1087,125005,30/04/25,91,45
O0199,P001,Cement Bags,V008,Reliable Bitumen Works,178,2887,513886,24/04/25,83,50
O0200,P008,Stormwater Grates,V002,Shree Steel Traders,97,3544,343768,13/03/25,19,20
O0201,P001,Cement Bags,V001,UltraBuild Suppliers,97,4235,410795,19/02/25,19,50
O0202,P003,Bitumen Drums,V004,Sai Pipes & Fittings,119,3916,466004,10/12/25,52,30
O0203,P007,Paver Blocks,V009,AquaFlow Solutions,170,1465,249050,01/08/25,118,45
O0204,P008,Stormwater Grates,V002,Shree Steel Traders,177,3543,627111,17/01/25,40,20
O0205,P004,PVC Drain Pipes,V006,Precision Electricals,133,3842,510986,05/07/25,35,35
O0206,P006,Electrical Cables,V002,Shree Steel Traders,159,3138,498942,23/07/25,12,25
O0207,P004,PVC Drain Pipes,V005,Green Earth Aggregates,51,3925,200175,06/12/25,16,35
O0208,P001,Cement Bags,V004,Sai Pipes & Fittings,32,2932,93824,06/03/25,36,50
O0209,P004,PVC Drain Pipes,V010,Metro Hardware Hub,37,1897,70189,21/04/25,80,35
O0210,P006,Electrical Cables,V004,Sai Pipes & Fittings,57,223,12711,16/03/25,40,25
O0211,P005,Coarse Aggregates,V003,Bharat Infra Supply Co.,64,1100,70400,14/01/25,89,60
O0212,P001,Cement Bags,V003,Bharat Infra Supply Co.,111,2149,238539,15/06/25,80,50
O0213,P003,Bitumen Drums,V001,UltraBuild Suppliers,87,629,54723,04/08/25,21,30
O0214,P002,TMT Steel Bars,V009,AquaFlow Solutions,36,4101,147636,05/07/25,62,40
O0215,P002,TMT Steel Bars,V009,AquaFlow Solutions,135,4327,584145,11/11/25,33,40
O0216,P005,Coarse Aggregates,V001,UltraBuild Suppliers,137,455,62335,03/09/25,12,60
O0217,P007,Paver Blocks,V007,Prime Machinery Vendors,47,4216,198152,16/08/25,96,45
O0218,P002,TMT Steel Bars,V002,Shree Steel Traders,102,1415,144330,06/03/25,13,40
O0219,P006,Electrical Cables,V005,Green Earth Aggregates,117,2615,305955,16/09/25,63,25
O0220,P007,Paver Blocks,V010,Metro Hardware Hub,45,1137,51165,02/12/25,114,45
O0221,P004,PVC Drain Pipes,V009,AquaFlow Solutions,130,3899,506870,27/04/25,118,35
O0222,P006,Electrical Cables,V007,Prime Machinery Vendors,136,3466,471376,18/02/25,58,25
O0223,P007,Paver Blocks,V006,Precision Electricals,100,2288,228800,20/03/25,52,45
O0224,P002,TMT Steel Bars,V008,Reliable Bitumen Works,43,899,38657,10/08/25,16,40
O0225,P006,Electrical Cables,V002,Shree Steel Traders,53,691,36623,15/10/25,80,25
O0226,P006,Electrical Cables,V009,AquaFlow Solutions,51,3565,181815,07/12/25,50,25
O0227,P001,Cement Bags,V007,Prime Machinery Vendors,93,2759,256587,23/02/25,50,50
O0228,P004,PVC Drain Pipes,V010,Metro Hardware Hub,59,4150,244850,25/02/25,33,35
O0229,P006,Electrical Cables,V006,Precision Electricals,49,2482,121618,26/04/25,78,25
O0230,P001,Cement Bags,V007,Prime Machinery Vendors,175,2390,418250,03/04/25,8,50
O0231,P005,Coarse Aggregates,V005,Green Earth Aggregates,106,3075,325950,03/04/25,5,60
O0232,P007,Paver Blocks,V003,Bharat Infra Supply Co.,37,1362,50394,21/11/25,99,45
O0233,P002,TMT Steel Bars,V001,UltraBuild Suppliers,155,1962,304110,03/08/25,53,40
O0234,P006,Electrical Cables,V008,Reliable Bitumen Works,60,3231,193860,16/06/25,44,25
O0235,P002,TMT Steel Bars,V010,Metro Hardware Hub,33,1474,48642,13/11/25,25,40
O0236,P002,TMT Steel Bars,V001,UltraBuild Suppliers,89,3829,340781,06/08/25,89,40
O0237,P008,Stormwater Grates,V008,Reliable Bitumen Works,126,2437,307062,20/09/25,32,20
O0238,P006,Electrical Cables,V002,Shree Steel Traders,130,1108,144040,14/12/25,41,25
O0239,P008,Stormwater Grates,V010,Metro Hardware Hub,154,2726,419804,23/04/25,10,20
O0240,P001,Cement Bags,V007,Prime Machinery Vendors,21,1874,39354,19/04/25,43,50
O0241,P005,Coarse Aggregates,V003,Bharat Infra Supply Co.,94,2887,271378,04/01/25,20,60
O0242,P007,Paver Blocks,V008,Reliable Bitumen Works,64,1258,80512,30/09/25,53,45
O0243,P006,Electrical Cables,V004,Sai Pipes & Fittings,38,3452,131176,22/01/25,115,25
O0244,P001,Cement Bags,V007,Prime Machinery Vendors,137,837,114669,10/06/25,115,50
O0245,P007,Paver Blocks,V010,Metro Hardware Hub,166,3513,583158,24/11/25,95,45
O0246,P005,Coarse Aggregates,V007,Prime Machinery Vendors,49,3518,172382,16/06/25,7,60
O0247,P008,Stormwater Grates,V003,Bharat Infra Supply Co.,112,921,103152,24/02/25,60,20
O0248,P007,Paver Blocks,V004,Sai Pipes & Fittings,170,3480,591600,10/02/25,72,45
O0249,P005,Coarse Aggregates,V007,Prime Machinery Vendors,106,2015,213590,28/03/25,47,60
O0250,P002,TMT Steel Bars,V002,Shree Steel Traders,155,4377,678435,28/06/25,29,40
O0251,P003,Bitumen Drums,V006,Precision Electricals,80,1042,83360,12/05/25,23,30
O0252,P003,Bitumen Drums,V004,Sai Pipes & Fittings,174,1452,252648,02/12/25,102,30
O0253,P003,Bitumen Drums,V002,Shree Steel Traders,180,4247,764460,16/10/25,64,30
O0254,P008,Stormwater Grates,V010,Metro Hardware Hub,164,2847,466908,18/11/25,115,20
O0255,P003,Bitumen Drums,V006,Precision Electricals,132,759,100188,15/08/25,65,30
O0256,P005,Coarse Aggregates,V005,Green Earth Aggregates,171,660,112860,17/09/25,50,60
O0257,P005,Coarse Aggregates,V002,Shree Steel Traders,138,3902,538476,30/01/25,9,60
O0258,P005,Coarse Aggregates,V006,Precision Electricals,39,939,36621,01/11/25,83,60
O0259,P007,Paver Blocks,V009,AquaFlow Solutions,138,536,73968,20/10/25,62,45
O0260,P006,Electrical Cables,V004,Sai Pipes & Fittings,174,4096,712704,19/03/25,69,25
O0261,P008,Stormwater Grates,V001,UltraBuild Suppliers,46,3013,138598,13/02/25,96,20
O0262,P003,Bitumen Drums,V009,AquaFlow Solutions,30,2229,66870,13/08/25,95,30
O0263,P003,Bitumen Drums,V008,Reliable Bitumen Works,113,3254,367702,18/07/25,41,30
O0264,P006,Electrical Cables,V007,Prime Machinery Vendors,173,628,108644,20/11/25,106,25
O0265,P002,TMT Steel Bars,V006,Precision Electricals,104,974,101296,14/12/25,76,40
O0266,P005,Coarse Aggregates,V007,Prime Machinery Vendors,84,1431,120204,11/02/25,47,60
O0267,P003,Bitumen Drums,V010,Metro Hardware Hub,109,2741,298769,24/12/25,88,30
O0268,P003,Bitumen Drums,V007,Prime Machinery Vendors,172,894,153768,14/10/25,44,30
O0269,P006,Electrical Cables,V007,Prime Machinery Vendors,52,965,50180,10/12/25,87,25
O0270,P006,Electrical Cables,V007,Prime Machinery Vendors,24,3170,76080,03/04/25,44,25
O0271,P006,Electrical Cables,V004,Sai Pipes & Fittings,144,1772,255168,12/03/25,33,25
O0272,P002,TMT Steel Bars,V003,Bharat Infra Supply Co.,95,1028,97660,04/10/25,69,40
O0273,P001,Cement Bags,V009,AquaFlow Solutions,106,1273,134938,12/07/25,81,50
O0274,P003,Bitumen Drums,V003,Bharat Infra Supply Co.,66,1556,102696,13/08/25,97,30
O0275,P007,Paver Blocks,V001,UltraBuild Suppliers,113,2145,242385,09/11/25,61,45
O0276,P008,Stormwater Grates,V005,Green Earth Aggregates,79,2159,170561,29/08/25,44,20
O0277,P006,Electrical Cables,V004,Sai Pipes & Fittings,166,3809,632294,25/05/25,64,25
O0278,P007,Paver Blocks,V007,Prime Machinery Vendors,61,1835,111935,06/11/25,107,45
O0279,P005,Coarse Aggregates,V003,Bharat Infra Supply Co.,33,4136,136488,10/07/25,116,60
O0280,P002,TMT Steel Bars,V009,AquaFlow Solutions,152,1221,185592,12/02/25,41,40
O0281,P005,Coarse Aggregates,V003,Bharat Infra Supply Co.,135,4405,594675,12/08/25,23,60
O0282,P004,PVC Drain Pipes,V002,Shree Steel Traders,135,3063,413505,01/08/25,8,35
O0283,P007,Paver Blocks,V001,UltraBuild Suppliers,148,3263,482924,17/07/25,35,45
O0284,P006,Electrical Cables,V002,Shree Steel Traders,77,430,33110,20/02/25,45,25
O0285,P003,Bitumen Drums,V006,Precision Electricals,55,513,28215,30/08/25,41,30
O0286,P008,Stormwater Grates,V003,Bharat Infra Supply Co.,134,243,32562,10/02/25,120,20
O0287,P005,Coarse Aggregates,V001,UltraBuild Suppliers,75,1424,106800,08/11/25,75,60
